Seed;GridSize;Steps
408170;5x5;26
297883;5x5;5336
255672;5x5;84
57745;5x5;250
547766;5x5;2922
916919;5x5;342
30692;5x5;26
299277;5x5;412
215234;5x5;452
302227;5x5;26
977616;5x5;870
875337;5x5;4158
219918;5x5;2144
569071;5x5;44
233340;5x5;24
765484;5x5;346
940533;5x5;120
957642;5x5;80
51131;5x5;278
636888;5x5;2510
954353;5x5;70
259094;5x5;5554
489303;5x5;268
901700;5x5;4440
644397;5x5;2716
15074;5x5;2334
961715;5x5;8510
368752;5x5;106
144361;5x5;204
803502;5x5;268
493967;5x5;58
700124;5x5;2716
329061;5x5;1076
39674;5x5;100
710699;5x5;122
901704;5x5;2306
738081;5x5;1340
929286;5x5;2886
482567;5x5;2040
600756;5x5;132
14429;5x5;70
716178;5x5;26
976291;5x5;62
56352;5x5;80
103449;5x5;806
831966;5x5;5092
591999;5x5;214
429964;5x5;2724
173461;5x5;26
960810;5x5;40
451995;5x5;106
157048;5x5;158
331857;5x5;2434
662518;5x5;796
39543;5x5;8004
101668;5x5;10406
718541;5x5;372
351554;5x5;322
958227;5x5;7700
375056;5x5;1962
712969;5x5;160
90638;5x5;24
883055;5x5;844
732860;5x5;1056
462725;5x5;402
384474;5x5;680
434059;5x5;24
506344;5x5;94
886209;5x5;506
822182;5x5;212
733415;5x5;36
584020;5x5;68
246909;5x5;44
832754;5x5;24
727619;5x5;118
527744;5x5;1380
935801;5x5;206
50238;5x5;158
517535;5x5;750
17004;5x5;1026
605749;5x5;72
75594;5x5;3300
136315;5x5;24
543064;5x5;166
728497;5x5;3070
787606;5x5;4730
79959;5x5;2378
358276;5x5;382
914925;5x5;4756
887714;5x5;3166
406003;5x5;444
545840;5x5;3630
366569;5x5;552
17582;5x5;32
773903;5x5;44
43292;5x5;276
765477;5x5;646
784762;5x5;592
332907;5x5;2368